asciiname,lat,lon,country,admin_code,tz,population,country_name,region,sub_region
Ramganj,23.1006,90.84989,BD,84,Asia/Dhaka,55241,Bangladesh,Asia,Southern Asia
Rajshahi,24.374,88.60114,BD,83,Asia/Dhaka,700133,Bangladesh,Asia,Southern Asia
Pirojpur,22.57965,89.97521,BD,85,Asia/Dhaka,54418,Bangladesh,Asia,Southern Asia
Patiya,22.29543,91.979,BD,84,Asia/Dhaka,51360,Bangladesh,Asia,Southern Asia
Narayanganj,23.61352,90.50298,BD,81,Asia/Dhaka,223622,Bangladesh,Asia,Southern Asia
Nagarpur,24.05783,89.87696,BD,81,Asia/Dhaka,238422,Bangladesh,Asia,Southern Asia
Mymensingh,24.75636,90.40646,BD,81,Asia/Dhaka,225126,Bangladesh,Asia,Southern Asia
Maulavi Bazar,24.48888,91.77075,BD,86,Asia/Dhaka,57441,Bangladesh,Asia,Southern Asia
Lalmanirhat,25.91719,89.44595,BD,87,Asia/Dhaka,65127,Bangladesh,Asia,Southern Asia
Laksham,23.24018,91.12143,BD,84,Asia/Dhaka,82290,Bangladesh,Asia,Southern Asia
Comilla,23.46186,91.18504,BD,84,Asia/Dhaka,389411,Bangladesh,Asia,Southern Asia
Rangpur,25.74664,89.25166,BD,87,Asia/Dhaka,343122,Bangladesh,Asia,Southern Asia
Kushtia,23.9028,89.11943,BD,82,Asia/Dhaka,135724,Bangladesh,Asia,Southern Asia
Joypur Hat,25.10147,89.02734,BD,83,Asia/Dhaka,73068,Bangladesh,Asia,Southern Asia
Ishurdi,24.12858,89.06573,BD,83,Asia/Dhaka,81995,Bangladesh,Asia,Southern Asia
Habiganj,24.38044,91.413,BD,86,Asia/Dhaka,88760,Bangladesh,Asia,Southern Asia
Feni,23.01134,91.4013,BD,84,Asia/Dhaka,84028,Bangladesh,Asia,Southern Asia
Raipur,23.0391,90.76808,BD,84,Asia/Dhaka,64652,Bangladesh,Asia,Southern Asia
Dhaka,23.7104,90.40744,BD,81,Asia/Dhaka,10356500,Bangladesh,Asia,Southern Asia
Khagrachhari,23.10787,91.97006,BD,84,Asia/Dhaka,50364,Bangladesh,Asia,Southern Asia
Bhairab Bazar,24.0524,90.9764,BD,81,Asia/Dhaka,105457,Bangladesh,Asia,Southern Asia
Narail,23.15509,89.49515,BD,82,Asia/Dhaka,55112,Bangladesh,Asia,Southern Asia
Tungipara,22.89983,89.90326,BD,81,Asia/Dhaka,62210,Bangladesh,Asia,Southern Asia
Sarishabari,24.75127,89.83126,BD,81,Asia/Dhaka,81325,Bangladesh,Asia,Southern Asia
Palang,23.21824,90.35076,BD,81,Asia/Dhaka,67652,Bangladesh,Asia,Southern Asia
Par Naogaon,24.80418,88.94875,BD,83,Asia/Dhaka,192464,Bangladesh,Asia,Southern Asia
Lakshmipur,22.9443,90.83005,BD,84,Asia/Dhaka,61703,Bangladesh,Asia,Southern Asia
